小区名;小区地址;建筑年代;建筑类型;物业费用;物业公司;开发商;楼栋总数;房屋总数;附近门店
石油大院;(海淀二里庄)学院路20号院;1970年建成;塔楼/板楼/塔板结合;0.6元/平米/月;单位自管物业;北京城建集团有限责任公司;66栋;6534户;二里庄南店/海淀区志新路16号底墒
富力桃园A区;(海淀西三旗)建材城富力桃园;2008年建成;塔楼/板楼;2.2至18元/平米/月;北京恒富物业管理有限公司;北京富力地产开发有限公司;6栋;576户;富力桃园一店/海淀区西三旗富力桃园B区底商
西钓鱼台嘉园;(海淀定慧寺)钓鱼台村1号;2006年建成;塔楼/板楼/塔板结合;3.98至7.98元/平米/月;北京西宇嘉业物业管理有限公司;北京市御水苑房地产开发有限责任公司;7栋;940户;颐源居胜利一店/海淀翠微东里A1号楼
沁春家园;(海淀西三旗)建材城西路沁春家园;1999年建成;塔楼/板楼;0.9至1.65元/平米/月;北京鑫磊物业管理有限责任公司;北京都市房地产开发有限公司;14栋;1375户;西三旗桥东店/海淀区清河西三旗环岛东200米门面房其中一间
燕清源;(海淀清河)燕语清园;2005年建成;板楼/塔板结合;1.98元/平米/月;北京长城物业管理有限公司;北京天润置地房地产开发(集团)有限公司;9栋;1211户;力度店/海淀区清河中介69号院1层63-31
美丽园;(海淀四季青)美丽园路美丽园;2000年建成;板楼;1.83元/平米/月;河北恒辉物业;北京东方鸿铭房地产开发有限公司;34栋;1378户;西荣阁店/海淀彰化路138号院1号楼106号
美林花园;(海淀紫竹桥)紫竹院路33号;2000年建成;塔楼/板楼;2.8元/平米/月;燕桥物业公司;北京辰泰房地产开发有限公司;4栋;760户;美林花园店/海淀区西郊北洼路二6号楼6单元1层622
美丽西园;(海淀四季青)西四环北路美丽西园;1998年建成;板楼/塔板结合;2.28元/平米/月;北京丽锦物业管理中心;北京泽翼房地产开发有限责任公司;13栋;1082户;美丽园店/海淀区营慧寺美丽园中路美丽园小区西门底商
冠城北园;(海淀马甸)马甸冠城北园;1999年建成;塔楼/板楼/塔板结合;4元/平米/月;北京冠海物业管理公司;北京冠海房地产有限公司;5栋;796户;冠城南园店/海淀马甸路中航宿舍底墒
西山壹号院;(海淀西北旺)圆明园西路药用植物园北侧约200米;2011年建成;板楼;7.8元/平米/月;天津融创物业管理有限公司北京分公司;北京融创恒基地产有限公司;42栋;1035户;壹号院店/海淀区德惠路1号院14号楼1层3-178
西山国际城;(海淀田村)阜石路甲69号院;2010年建成;塔楼/塔板结合;4.2元/平米/月;北京昌泽物业管理有限公司;北京锦绣大地房地产开发有限公司;13栋;2879户;暂无门店信息
主语家园;(海淀紫竹桥)首体南路9号主语家园;2007年建成;塔楼/板楼/塔板结合;3.95元/平米/月;北京主语城世邦物业管理有限公司;北京瑞景清源房地产开发有限公司;15栋;575户;主语城店/海淀区首体南路9号主语家园17号楼1－103
玉海园五里;(海淀玉泉路)玉海园五里;1997年建成;板楼;0.93元/平米/月;北京市久筑物业管理有限责任公司;北京海开房地产集团公司;21栋;1601户;玉海园五里店/海淀玉海园五里16号楼5门102号及6门101号
明光村小区;(海淀西直门)明光村小区;1976年建成;塔楼/板楼;1.05至1.98元/平米/月;北京盛世腾达物业管理有限公司;无开发商;22栋;1824户;天兆家园东门店/海淀区明光村16楼南侧
紫竹花园;(海淀紫竹桥)紫竹院路88号;2000年建成;塔楼/板楼;2.8元/平米/月;乐生活(北京)智慧社区投资发展有限责任公司;北京紫竹花园房地产开发有限公司;6栋;682户;紫竹花园店/海淀区紫竹院路88号院2号楼底商
玉海园二里;(海淀玉泉路)玉泉路8号院;1997年建成;板楼/塔板结合;1.05至1.68元/平米/月;北京市玉海辉物业管理有限公司;北京海开房地产集团公司;20栋;1453户;玉海园七店/海淀区采石路玉海园5里20号楼一层10号门
百旺家苑;(海淀马连洼)百旺家苑;2003年建成;板楼;1.18至1.86元/平米/月;北京华特物业管理有限公司;北京德成兴业房地产开发有限公司;58栋;1426户;润千秋店/海淀兴隆庄乙一号（润千秋佳苑甲11号楼底商24号商铺）
学院派;(海淀皂君庙)学院南路15号;2009年建成;塔楼/塔板结合;3.38至7元/平米/月;中海宏洋物业管理有限公司;中海地产;3栋;938户;学院派物美店/海淀区学院南路15号院10号楼1层103
车道沟10号院;(海淀紫竹桥)紫竹院路车道沟10号院;1963年建成;塔楼/板楼/塔板结合/平房;0.64至2.06元/平米/月;北京北方家园物业管理有限责任公司;无开发商;23栋;2278户;车道沟一店/海淀区车道沟10号院1号楼
翠微路2号院;(海淀公主坟)翠微路2号院;1963年建成;板楼;0.9至1.8元/平米/月;单位自管物业;无开发商;32栋;1777户;万寿路店/海淀区万寿路乙十四号楼
诚品建筑;(海淀四季青)云会里远流清园;2003年建成;板楼;3.5至4.5元/平米/月;北京金地物业管理有限责任公司;北京世博伟业房地产开发有限公司;9栋;816户;西荣阁店/海淀彰化路138号院1号楼106号
光大花园;(海淀万柳)泉宗路2号;2000年建成;塔楼/板楼;2.1元/平米/月;北京中海物业管理有限公司;北京光大房地产开发有限公司;9栋;1017户;新纪元店/海淀区万柳新纪元家园1号楼楼底
稻香园西里;(海淀苏州桥)万柳东路稻香园西里;1980年建成;塔楼/板楼/塔板结合/平房;0.73至2.71元/平米/月;北京安居物业管理有限公司;无开发商;8栋;1123户;稻香园西里店/海淀万泉河路73号一层部分
上地佳园;(海淀上地)上地东路41号;2003年建成;板楼/塔板结合;1.58至1.9元/平米/月;北京实创上地物业管理服务有限责任公司;北京实创上地佳园房地产开发有限公司;22栋;1336户;上地城铁店/海淀区上地佳园底商39号
黄庄小区;(海淀中关村)中关村, 中关村海淀黄庄小区;1963年建成;塔楼/板楼/塔板结合;1.75至2.23元/平米/月;北京科住物业管理有限公司;中国科学院房产管理所;35栋;1829户;黄庄新店/海淀区中关村南路55号链家地产
翠微南里;(海淀公主坟)翠微南里;1963年建成;塔楼/板楼;1.1至1.8元/平米/月;北京中房物业公司;中国房地产开发北京公司;19栋;1724户;翠微中里店/海淀翠微东里11号楼3单元312号
钻河公馆;(海淀西直门)钻河公馆;2009年建成;塔楼/板楼/塔板结合;1.37至4.8元/平米/月;北京戴德梁行物业管理有限公司;北京焯桥房地产开发有限公司;2栋;2121户;长河湾北门店/海淀高粱桥斜街59号院2号楼1层105
观澜国际;(海淀四季青)曙光花园望河园;2003年建成;板楼;2.66元/平米/月;燕桥物业公司;北京首开天鸿集团有限公司;6栋;969户;曙光花园店/海淀区彰化路7号楼7-1
水木天成;(海淀清河)龙岗路水木天成;2005年建成;塔楼/板楼;2元/平米/月;北京水木天成物业管理有限责任公司;北京亚太友谊房地产开发房地产开发有限责任公司;7栋;1158户;府学上院店/海淀区清河家园东区4号楼1层102.103
阳春光华家园;(海淀万柳)万柳阳春光华家园;1999年建成;塔楼/板楼;2.15至2.25元/平米/月;阳光房地产盛世物业公司;北京首创集团阳光房地产开发公司;13栋;1431户;涧桥泊屋一店/海淀区万柳新纪元家园2号楼底商
富润家园;(海淀学院路)学院路6号;2000年建成;塔楼/板楼/塔板结合;1.8元/平米/月;北京昊岳富润家园物业管理有限公司;中房集团北京金华房地产开发公司;5栋;1064户;六道口城铁店/海淀区富润家园1号楼底商
小南庄怡秀园;(海淀苏州桥)怡秀园;1995年建成;塔楼/板楼;1.7至2.24元/平米/月;北京乾江物业有限责任公司;北京泰跃房地产开发有限责任公司;10栋;1069户;新起点店/海淀怡秀园9号楼6门612
蓟门东里;(海淀知春路)北三环西路5号;1985年建成;塔楼/板楼/塔板结合/平房;7元/平米/月;北京务实物业管理中心;无开发商;13栋;1622户;暂无门店信息
富力桃园B区;(海淀西三旗)建材城富力桃园;2007年建成;板楼;2.2至18元/平米/月;北京恒富物业管理有限公司;北京富力地产开发有限公司;4栋;379户;富力桃园一店/海淀区西三旗富力桃园B区底商
光大水墨风景;(海淀万柳)海淀区万柳光大西园;2005年建成;板楼;2.6至4元/平米/月;中海宏洋物业管理有限公司;中国光大房地产开发公司;7栋;530户;万柳店/海淀区蜂鸟家园4号楼14-16号底商（中关村三小对面)
新起点嘉园;(海淀万柳)长春桥路5号;2001年建成;塔楼/板楼;2.02至3.49元/平米/月;北京龙城兴业物业管理有限公司;北京三义房地产开发有限公司;12栋;1270户;新起点店/海淀怡秀园9号楼6门612
三义庙北;(海淀苏州桥)三义庙北;1958年建成;塔楼/板楼;0.01元/平米/月;无物业管理服务;无开发商;23栋;1588户;三义庙一店/海淀北三环西路甲49号楼大厅东侧底商
科育小区;(海淀中关村)中关村南路;1950年建成;板楼/平房;1.92至2.72元/平米/月;北京科住物业管理有限公司;北京中科院;60栋;2488户;中关村店/海淀区中关村南路8-8链家地产
锦秋知春;(海淀知春路)罗庄北里锦秋家园;2000年建成;塔楼/板楼/塔板结合;2.5至2.9元/平米/月;北京经中太联物业管理有限公司;北京锦秋知春房地产开发有限公司;9栋;993户;宏嘉丽园店/海淀区罗庄南里3号楼首层底墒07号西南侧商房
西三环北路105号院;(海淀定慧寺)西三环北路105号院;1958年建成;塔楼/板楼/塔板结合;0.8至1.8元/平米/月;北京安安物业管理中心;北京建工地产;22栋;2109户;玲珑路店/北京市海淀区北洼路29号院底商
普惠南里;(海淀公主坟)普惠南里;1982年建成;塔楼/板楼;1.2至2.2元/平米/月;单位自管物业;北京城乡房屋建设开发有限责任公司;20栋;2112户;普惠南里店/北京市海淀羊坊店街道普惠南里12号楼马路斜对面（由东向西第一间一层及二层）
怡清园;(海淀清河)永泰东里怡清园;2003年建成;板楼/塔板结合;1.5元/平米/月;北京恒隅基业物业管理有限公司;北京建雄房地产开发有限责任公司;3栋;805户;清河店/海淀区永泰东里52号楼底商3号
建材城西二里;(海淀西三旗)建材城西二里;1986年建成;板楼;0.83元/平米/月;北京华远物业管理公司;北京城建集团;12栋;1403户;知本时代新店/海淀区建材城西路27号1层101
都景苑;(海淀牡丹园)牡丹园北里;2001年建成;塔楼;1.18至1.6元/平米/月;北京惠仁物业管理有限公司;北京国电房地产开发有限公司;3栋;741户;华盛家园店/海淀区花园北路20号牡丹北里6号楼一层B
八家嘉苑;(海淀学院路)双清路八家嘉苑;2012年建成;塔楼/板楼;1元/平米/月;深华物业管理有限公司;北京八家嘉苑房地产开发有限公司;21栋;5543户;城华园店/海淀区城华园2号楼106号
莲花小区;(海淀六里桥)莲花苑;1999年建成;塔板结合;1.98元/平米/月;北京宝景物业管理有限公司;北京首开天鸿集团有限公司;2栋;2000户;华尔街店/海淀区吴家场路1号院3号楼底商
双榆树南里二区;(海淀皂君庙)双榆树南里;1982年建成;塔楼/板楼;0.9至1.94元/平米/月;北京亿方物业管理有限责任公司;无开发商;14栋;1446户;满庭芳园店/海淀区青云里满庭芳园8号底商
建清园;(海淀学院路)月泉路建清园;1996年建成;板楼;0.6至0.7元/平米/月;北京金融街物业管理有限责任公司;北京城建四公司;10栋;1410户;城华园店/海淀区城华园2号楼106号
北京印象;(海淀定慧寺)阜成路115号;2003年建成;塔板结合;2.68元/平米/月;北京宝联物业管理有限公司;北京世纪景源房地产开发有限公司;7栋;1365户;定慧福里店/海淀区八里庄路62号院定慧福里2号楼底商
建材城东二里;(海淀西三旗)建材城东二里;1998年建成;塔楼/板楼;0.86元/平米/月;西三旗物业公司;北京城建集团有限责任公司;14栋;1271户;硅谷先锋店/海淀建材城东二里15,16号楼底商部分
烟树园;(海淀世纪城)蓝靛厂烟树园;2003年建成;塔楼;1.2至3元/平米/月;北京海青物业管理有限公司;北京金源鸿大房地产开发有限公司;8栋;1341户;时雨园店/海淀区蓝靛厂中路时雨园甲2-11
金夕园;(海淀世纪城)蓝靛厂金夕园;2003年建成;塔楼;1.25至5元/平米/月;北京世纪颐和物业管理有限责任公司;北京金源鸿大房地产开发有限公司;4栋;1123户;时雨园店/海淀区蓝靛厂中路时雨园甲2-11
安宁里;(海淀安宁庄)安宁里;1994年建成;板楼;0.8元/平米/月;北京新通房产管理经营有限公司;北京上地房地产开发有限责任公司;15栋;1185户;实验二小店/海淀区清河安宁庄东路18号10号楼20幢
文慧园15号16公寓;(海淀新街口)文慧园;2004年建成;塔楼;1.86元/平米/月;羲合物业管理有限公司;北京市威凯房地产开发经营公司;2栋;619户;文慧园二店/海淀区文慧园路10号2幢平房
健翔园;(海淀二里庄)北四环中路209号;1999年建成;塔楼/板楼;1.2至2元/平米/月;北京健翔物业管理有限责任公司;北京经济发展投资公司;6栋;947户;志新东路店/海淀卧虎桥甲6号7号楼1层底商
燕北园;(海淀颐和园)北京大学燕北园;1991年建成;板楼/平房;0.5至0.8元/平米/月;单位自管物业;无开发商;29栋;1477户;暂无门店信息
力度家园;(海淀清河)清河中街69号院;2003年建成;塔楼/板楼/塔板结合;1.95元/平米/月;北京华泰龙安物业管理有限责任公司;北京方恒房地产开发有限公司;7栋;744户;力度店/海淀区清河中介69号院1层63-31
八宝庄;(海淀定慧寺)阜成路八宝庄;1988年建成;塔楼/板楼;0.64至2.22元/平米/月;北京房修一慧宝物业管理有限公司;北京天鸿房地产开发有限责任公司;22栋;1834户;阜成路一店/海淀区八宝庄小区40号楼一层7号
知春东里;(海淀双榆树)中关村街道知春东里社区;1985年建成;塔楼/板楼;1元/平米/月;北京亿方物业管理有限责任公司;无开发商;11栋;1422户;双榆树店/海淀区知春里20栋楼底
